uid,station_name,time_iso,aqi,pm25,pm10,o3,no2,so2,co,temp,humidity,wind,pressure,ingested_at_utc,time
5773,Bangkok,2025-08-25 01:00:00,25,25,10,4.8,0.6,0.6,0.1,27.2,83.7,1.5,1005.3,2025-08-24T19:05:48Z,2025-08-25 08:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 01:00:00,42,42,17,5.2,,1.6,0.1,26.5,92.0,1.0,1005.4,2025-08-24T19:05:49Z,2025-08-25 08:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 01:00:00,16,16,10,13.4,9.3,0.6,0.1,27.6,79.8,1.5,1005.8,2025-08-24T19:05:50Z,2025-08-25 08:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-24 22:00:00,56,56,67,0.4,,,,28.2,80.4,2.5,1006.9,2025-08-24T19:05:51Z,2025-08-25 05:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-24T19:05:52Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 02:00:00,29,29,7,4.8,0.6,0.6,0.1,27.6,88.8,1.5,1005.8,2025-08-24T19:21:12Z,2025-08-25 09:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 01:00:00,42,42,17,5.2,,1.6,0.1,26.5,92.0,1.0,1005.4,2025-08-24T19:21:13Z,2025-08-25 08:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 02:00:00,15,15,6,13.4,9.3,0.6,0.1,27.6,79.8,1.5,1005.8,2025-08-24T19:21:14Z,2025-08-25 09:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-24 22:00:00,56,56,67,0.4,,,,28.2,80.4,2.5,1006.9,2025-08-24T19:21:14Z,2025-08-25 05:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-24T19:21:15Z,2025-07-06 20:00:00+07:00
